PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Aaron Gordon,ORL,24,6'8,235,Arizona,USA,2014,1,4,58,14.4,7.6,3.7,2.0,5.10%,17.50%,20.30%,51.10%,16.40%,PF,5.05%,8.75,10.5,6' 7.5'',6' 8.75'',8' 9'',220.1,6' 11.75''
Aaron Holiday,IND,23,6'0,185,UCLA,USA,2018,1,23,58,9.4,2.3,3.3,1.9,1.50%,7.60%,18.80%,51.70%,19.10%,PG,6.40%,8.75,8.5,5' 11.75'',6' 0.75'',8' 1'',187,6' 7.5''
Admiral Schofield,WAS,23,6'5,241,Tennessee,United Kingdo...,2019,2,42,27,3.1,1.3,0.5,4.9,1.80%,9.20%,12.30%,51.40%,6.80%,SF,6.80%,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75''
Al Horford,PHI,34,6'9,240,Florida,Dominican Rep...,2007,1,3,60,12.0,6.9,4.1,3.5,5.00%,17.00%,17.40%,52.60%,18.50%,PF,9.10%,-,-,6' 8'',6' 9.75'',8' 11'',246,7' 0.75''
Alec Burks,PHI,28,6'6,214,Colorado,USA,2011,1,12,59,15.1,4.4,2.9,8.3,2.50%,13.40%,23.00%,54.90%,17.80%,SG,5.10%,9,8.25,6' 5'',6' 6'',8' 7.5'',192.6,6' 10''
Alex Len,SAC,27,7'0,250,Maryland,Ukraine,2013,1,5,49,8.3,6.0,1.0,5.6,9.60%,19.50%,17.80%,59.60%,8.50%,C,6.40%,9,10.75,,,,-,7' 3.5''
Alize Johnson,IND,24,6'7,212,Missouri State,USA,2018,2,50,13,1.4,1.4,0.2,4.7,11.90%,20.40%,14.20%,51.00%,4.50%,PF,8.10%,8.5,9.75,6' 7.25'',6' 8'',8' 7'',216.6,6' 8.75''
Allen Crabbe,MIN,28,6'5,212,California,USA,2013,2,31,37,4.6,2.1,0.9,15.0,1.40%,9.80%,12.20%,47.00%,7.30%,SG,4.65%,8.25,8.5,6' 5.25'',6' 6.25'',8' 7.5'',197.4,6' 11.25''
Allonzo Trier,NYK,24,6'4,200,Arizona,USA,Undrafted,Undrafted,Undrafted,24,6.5,1.2,1.2,11.1,1.80%,7.80%,20.80%,62.00%,16.40%,SG,4.95%,8.25,10.5,6' 3.75'',6' 5.25'',8' 2'',198,6' 6.75''
Andre Drummond,CLE,26,6'10,279,Connecticut,USA,2012,1,9,57,17.7,15.2,2.7,5.0,12.90%,33.60%,25.30%,55.30%,13.30%,C,7.50%,9.5,9.5,6' 9.75'',6' 11.75'',9' 1.5'',278.6,7' 6.25''
