PLAYER,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,Rk,Unnamed: 2,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Gordon,PF,5.05%,8.75,10.5,79.5,6' 8.75'',8' 9'',220.1,83.75,173,gordoaa01,PF,24,ORL,58,58,1914,314,726,0.433,68,226,0.301,246,500,0.49200000000000005,0.479,137,203,0.675,103,338,441,215,50,36,94,116,833
Aaron Holiday,PG,6.40%,8.75,8.5,71.75,6' 0.75'',8' 1'',187,79.5,216,holidaa01,PG,23,IND,58,26,1368,202,496,0.40700000000000003,80,203,0.39399999999999996,122,293,0.41600000000000004,0.488,62,72,0.861,21,111,132,193,45,13,75,102,546
Admiral Schofield,SF,6.80%,8.75,9,76.0,6' 5.25'',8' 6.5'',240.6,81.75,429,schofad01,SF,22,WAS,27,2,293,30,75,0.4,14,47,0.298,16,28,0.5710000000000001,0.493,9,13,0.6920000000000001,6,28,34,14,8,3,7,41,83
Al Horford,PF,9.10%,-,-,80.0,6' 9.75'',8' 11'',246,84.75,222,horfoal01,C,33,PHI,60,57,1848,289,654,0.442,89,264,0.337,200,390,0.513,0.51,55,73,0.753,92,320,412,244,52,55,65,128,722
Alec Burks,SG,5.10%,9,8.25,77.0,6' 6'',8' 7.5'',192.6,82.0,77,burksal01,SG,28,TOT,59,18,1612,283,701,0.40399999999999997,100,273,0.366,183,428,0.428,0.475,225,251,0.8959999999999999,43,219,262,171,58,17,85,120,891
Al-Farouq Aminu,SF,8.20%,9.5,9.5,79.25,6' 8.5'',9' 0.5'',216,87.25,8,aminual01,PF,29,ORL,18,2,380,25,86,0.29100000000000004,9,36,0.25,16,50,0.32,0.34299999999999997,19,29,0.655,24,63,87,21,18,8,17,27,78
Allen Crabbe,SG,4.65%,8.25,8.5,77.25,6' 6.25'',8' 7.5'',197.4,83.25,111,crabbal01,SG,27,TOT,37,1,653,63,177,0.35600000000000004,36,119,0.303,27,58,0.466,0.45799999999999996,10,14,0.7140000000000001,11,66,77,33,15,4,17,47,172
Allonzo Trier,SG,4.95%,8.25,10.5,75.75,6' 5.25'',8' 2'',198,78.75,464,trieral01,PG,24,NYK,24,1,291,51,106,0.48100000000000004,19,53,0.358,32,53,0.604,0.5710000000000001,34,43,0.7909999999999999,6,23,29,28,3,4,22,29,155
Andre Drummond,C,7.50%,9.5,9.5,81.75,6' 11.75'',9' 1.5'',278.6,90.25,135,drumman01,C,26,TOT,57,56,1879,418,784,0.5329999999999999,5,35,0.14300000000000002,413,749,0.551,0.536,169,294,0.575,250,614,864,152,109,93,203,201,1010
Anfernee Simons,SG-PG,7.70%,8.75,9,74.25,6' 3.25'',8' 3.5'',183.2,81.25,440,simonan01,SG,20,POR,65,4,1400,211,525,0.402,74,219,0.33799999999999997,137,306,0.44799999999999995,0.47200000000000003,76,92,0.826,25,122,147,95,26,10,61,131,572
Anthony Davis,PF-C,7.90%,9,8.5,81.25,6' 10.5'',9' 0'',221.8,89.5,118,davisan02,PF,26,LAL,55,55,1889,508,994,0.511,65,194,0.335,443,800,0.5539999999999999,0.544,386,457,0.845,124,393,517,172,82,134,135,138,1467
Anthony Tolliver,PF,5.70%,-,-,79.0,6' 8.5'',8' 11.5'',242,86.5,460,tollian01,PF,34,TOT,47,9,732,54,155,0.348,39,121,0.322,15,34,0.441,0.474,18,25,0.72,30,103,133,33,15,11,30,64,165
Austin Rivers,SG-PG,6.20%,8.5,10,75.5,6' 5'',8' 0.5'',202.8,79.25,411,riverau01,SG,27,HOU,60,4,1402,182,432,0.42100000000000004,83,232,0.358,99,200,0.495,0.517,60,90,0.667,25,117,142,96,42,10,35,112,507
Avery Bradley,SG-PG,4.00%,8.25,9.5,74.0,6' 3.25'',8' 2.5'',180.4,79.25,57,bradlav01,SG,29,LAL,49,44,1186,170,383,0.444,63,173,0.364,107,210,0.51,0.526,20,24,0.833,18,97,115,63,43,5,47,110,423
Ben McLemore,SG,5.00%,8.75,9.5,75.5,6' 4.75'',8' 4.5'',189.2,79.75,324,mclembe01,SG,26,HOU,63,19,1437,209,470,0.445,154,390,0.395,55,80,0.688,0.609,47,62,0.758,20,119,139,54,38,12,46,130,619
Blake Griffin,PF,8.20%,-,-,80.5,6' 10'',8' 9'',248.4,83.25,184,griffbl01,PF,30,DET,18,18,512,88,250,0.35200000000000004,27,111,0.243,61,139,0.439,0.406,76,98,0.7759999999999999,17,67,84,59,7,7,40,27,279
Bobby Portis,PF,8.90%,9.5,9.25,81.5,6' 10.5'',9' 0.5'',246.2,86.0,400,portibo01,C,24,NYK,66,5,1393,265,589,0.45,67,187,0.358,198,402,0.493,0.507,71,93,0.763,80,258,338,98,32,18,73,110,668
Bradley Beal,SG,6.00%,8.5,9,75.25,6' 4.75'',8' 4'',201.8,80.0,34,bealbr01,SG,26,WAS,57,57,2053,593,1303,0.455,170,481,0.353,423,822,0.515,0.52,385,457,0.8420000000000001,52,190,242,347,71,23,194,126,1741
Brandon Clarke,SF,4.90%,8.25,9.5,79.25,6' 8.25'',8' 6'',207.2,80.25,98,clarkbr01,PF,23,MEM,50,3,1086,254,408,0.623,21,52,0.40399999999999997,233,356,0.654,0.648,73,93,0.785,78,214,292,72,26,42,46,82,602
Brandon Knight,PG,4.20%,8.25,9.5,73.5,6' 3.25'',8' 2.5'',176.8,78.75,269,knighbr03,PG,28,TOT,25,3,462,59,167,0.353,45,131,0.344,14,36,0.389,0.488,20,34,0.588,4,37,41,69,10,3,38,40,183
Brook Lopez,C,6.30%,-,-,83.25,7' 0.5'',9' 5'',258,89.5,294,lopezbr01,C,31,MIL,61,60,1622,244,571,0.42700000000000005,84,284,0.29600000000000004,160,287,0.557,0.501,98,121,0.81,42,230,272,95,43,149,63,147,670
Bruce Brown,SG-PG,3.75%,8.5,8.5,75.5,6' 5'',8' 2.5'',194.6,81.0,67,brownbr01,SG,23,DET,58,43,1634,198,447,0.44299999999999995,33,96,0.344,165,351,0.47,0.48,88,119,0.7390000000000001,61,213,274,230,63,29,100,162,517
Bruno Fernando,C,5.40%,9.25,10,80.75,6' 10.25'',9' 2'',237,87.25,150,fernabr01,C,21,ATL,56,13,713,103,199,0.518,5,37,0.135,98,162,0.605,0.53,29,51,0.569,67,131,198,49,18,17,42,107,240
Buddy Hield,SG,6.10%,8.5,9,75.75,6' 5'',8' 5'',212.4,81.25,212,hieldbu01,SG,27,SAC,64,44,2045,456,1062,0.429,244,618,0.395,212,444,0.47700000000000004,0.544,112,131,0.855,57,249,306,197,60,17,150,150,1268
