PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Aaron Gordon,ORL,24,8-Jun,235,Arizona,USA,2014,1,4,58,14.4,7.6,3.7,-2,5.10%,17.50%,20.30%,51.10%,16.40%
Aaron Holiday,IND,23,Jun-00,185,UCLA,USA,2018,1,23,58,9.4,2.3,3.3,1.9,1.50%,7.60%,18.80%,51.70%,19.10%
Abdel Nader,OKC,26,5-Jun,225,Iowa State,Egypt,2016,2,58,48,6,1.9,0.7,-3.4,1.80%,9.50%,16.00%,58.00%,7.00%
Adam Mokoka,CHI,21,5-Jun,190,None,France,Undrafted,Undrafted,Undrafted,11,2.9,0.9,0.4,17.1,5.70%,2.90%,11.00%,53.80%,4.30%
Admiral Schofield,WAS,23,5-Jun,241,Tennessee,United Kingdo...,2019,2,42,27,3.1,1.3,0.5,-4.9,1.80%,9.20%,12.30%,51.40%,6.80%
Al Horford,PHI,34,9-Jun,240,Florida,Dominican Rep...,2007,1,3,60,12,6.9,4.1,3.5,5.00%,17.00%,17.40%,52.60%,18.50%
Al-Farouq Aminu,ORL,29,8-Jun,220,Wake Forest,USA,2010,1,8,18,4.3,4.8,1.2,-5.4,5.30%,15.80%,12.70%,39.50%,8.80%
Alec Burks,PHI,28,6-Jun,214,Colorado,USA,2011,1,12,59,15.1,4.4,2.9,-8.3,2.50%,13.40%,23.00%,54.90%,17.80%
Alen Smailagic,GSW,19,10-Jun,215,None,Serbia,2019,2,39,14,4.2,1.9,0.9,-3,7.70%,11.00%,17.50%,61.00%,13.30%
Alex Caruso,LAL,26,5-Jun,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,58,5.4,1.9,1.8,10.3,1.40%,8.80%,13.60%,53.80%,12.80%
Alex Len,SAC,27,Jul-00,250,Maryland,Ukraine,2013,1,5,49,8.3,6,1,-5.6,9.60%,19.50%,17.80%,59.60%,8.50%
Alfonzo McKinnie,CLE,27,7-Jun,215,None,USA,Undrafted,Undrafted,Undrafted,40,4.6,2.8,0.4,-7.4,6.10%,13.10%,14.70%,49.30%,3.20%
Alize Johnson,IND,24,7-Jun,212,Missouri State,USA,2018,2,50,13,1.4,1.4,0.2,4.7,11.90%,20.40%,14.20%,51.00%,4.50%
Allen Crabbe,MIN,28,5-Jun,212,California,USA,2013,2,31,37,4.6,2.1,0.9,-15,1.40%,9.80%,12.20%,47.00%,7.30%
Allonzo Trier,NYK,24,4-Jun,200,Arizona,USA,Undrafted,Undrafted,Undrafted,24,6.5,1.2,1.2,-11.1,1.80%,7.80%,20.80%,62.00%,16.40%
Amile Jefferson,ORL,27,9-Jun,222,Duke,USA,Undrafted,Undrafted,Undrafted,18,0.8,1.3,0.2,8.5,11.20%,16.30%,12.90%,37.20%,7.80%
Amir Coffey,LAC,23,7-Jun,210,None,USA,Undrafted,Undrafted,Undrafted,13,2.2,1.1,0.7,-3.2,4.10%,9.60%,15.40%,40.80%,13.20%
Andre Drummond,CLE,26,10-Jun,279,Connecticut,USA,2012,1,9,57,17.7,15.2,2.7,-5,12.90%,33.60%,25.30%,55.30%,13.30%
Andre Iguodala,MIA,36,6-Jun,215,Arizona,USA,2004,1,9,14,4.4,3.8,2,-3.1,3.70%,14.20%,11.40%,55.90%,16.60%
Andrew Wiggins,GSW,25,7-Jun,197,Kansas,Canada,2014,1,1,54,21.8,5.1,3.7,-5.1,3.30%,11.00%,26.90%,53.60%,18.00%
Anfernee Simons,POR,21,3-Jun,181,None,USA,2018,1,24,65,8.8,2.3,1.5,-8.6,1.60%,7.90%,18.30%,50.60%,10.00%
Ante Zizic,CLE,23,10-Jun,266,None,Croatia,2016,1,23,22,4.4,3,0.3,1.3,8.40%,21.10%,16.80%,59.70%,3.80%
Anthony Davis,LAL,27,10-Jun,253,Kentucky,USA,2012,1,1,55,26.7,9.4,3.1,6.7,6.40%,19.70%,28.70%,61.40%,14.80%
Anthony Tolliver,MEM,35,8-Jun,240,Creighton,USA,Undrafted,Undrafted,Undrafted,47,3.5,2.8,0.7,-7.2,3.70%,13.30%,11.00%,49.70%,6.00%
Antonius Cleveland,DAL,26,5-Jun,195,S.E. Missouri,USA,Undrafted,Undrafted,Undrafted,6,0.8,0.5,0,-26,0.00%,25.00%,14.30%,36.30%,0.00%
