PLAYER,TEAM,AGE,HEIGHT,WEIGHT,
Aaron Gordon,ORL,24,6'8,235,
Aaron Holiday,IND,23,6'0,185,
Abdel Nader,OKC,26,6'5,225,
Adam Mokoka,CHI,21,6'5,190,
Admiral Schofield,WAS,23,6'5,241,
Al Horford,PHI,34,6'9,240,
Al'Farouq Aminu,ORL,29,6'8,220,
Alec Burks,PHI,28,6'6,214,
Alen Smailagic,GSW,19,6'10,215,
Alex Caruso,LAL,26,6'5,186,
Alex Len,SAC,27,7'0,250,
Alfonzo McKinnie,CLE,27,6'7,215,
Alize Johnson,IND,24,6'7,212,
Allen Crabbe,MIN,28,6'5,212,
Allonzo Trier,NYK,24,6'4,200,
Amile Jefferson,ORL,27,6'9,222,
Amir Coffey,LAC,23,6'7,210,
Andre Drummond,CLE,26,6'10,279,
Andre Iguodala,MIA,36,6'6,215,
Andrew Wiggins,GSW,25,6'7,197,
Anfernee Simons,POR,21,6'3,181,
Ante Zizic,CLE,23,6'10,266,
Anthony Davis,LAL,27,6'10,253,
Anthony Tolliver,MEM,35,6'8,240,
Antonius Cleveland,DAL,26,6'5,195,
Anzejs Pasecniks,WAS,24,7'2,229,
Aron Baynes,PHX,33,6'10,260,
Austin Rivers,HOU,27,6'3,200,
Avery Bradley,LAL,29,6'3,180,
BJ Johnson,ORL,24,6'7,200,
Bam Adebayo,MIA,22,6'9,255,
Ben McLemore,HOU,27,6'3,195,
Ben Simmons,PHI,23,6'10,240,
Bismack Biyombo,CHA,27,6'8,255,
Blake Griffin,DET,31,6'9,250,
Boban Marjanovic,DAL,31,7'4,290,
Bobby Portis,NYK,25,6'10,250,
Bogdan Bogdanovic,SAC,27,6'6,220,
Bojan Bogdanovic,UTA,31,6'8,226,
Brad Wanamaker,BOS,30,6'3,210,
Bradley Beal,WAS,27,6'3,207,
Brandon Clarke,MEM,23,6'8,215,
Brandon Goodwin,ATL,24,6'0,180,
Brandon Ingram,NOP,22,6'7,190,
Brandon Knight,DET,28,6'2,182,
Brian Bowen II,IND,21,6'6,190,
Brook Lopez,MIL,32,7'0,282,
Bruce Brown,DET,23,6'4,202,
Bruno Caboclo,HOU,24,6'9,218,
Bruno Fernando,ATL,21,6'9,240,
Bryn Forbes,SAS,26,6'2,205,
Buddy Hield,SAC,27,6'4,220,
CJ McCollum,POR,28,6'3,190,
CJ Miles,WAS,33,6'6,220,
Caleb Martin,CHA,24,6'5,205,
Caleb Swanigan,POR,23,6'9,260,
Cam Reddish,ATL,20,6'8,218,
Cameron Johnson,PHX,24,6'8,210,
Caris LeVert,BKN,25,6'6,205,
Carmelo Anthony,POR,36,6'8,238,
Carsen Edwards,BOS,22,5'11,200,
Cedi Osman,CLE,25,6'7,230,
Chandler Hutchison,CHI,24,6'7,210,
